S.ID,r01,r12,r23,r3x,r02,r13,r2x,C0r1,C0,C1,C2,C3,C4r1,C4,C5,C5m,C6r1,C6r2,C6,C6m,Pattern,Edit,Origin,V.ID,V.freq
s191,0.47,0.06,0,0.47,0.53,0.07,0.47,A,A,UNA,UNA,A,X,X,A,A,A,A,A,A,p5,o,o24,v713,713
s192,0.1,0.4,0.29,0.21,0.5,0.69,0.5,A,UNA,UNA,UNA,X,X,X,X,X,X,X,X,X,p3,v,o13,v210,210
s193,0.72,0.21,0.06,0.01,0.93,0.27,0.07,A,A,A,A,A,A,A,A,A,A,A,A,A,p2,v,o11,v155,155
s194,0.08,0.38,0.29,0.26,0.46,0.66,0.54,UNA,UNA,UNA,UNA,UNA,X,X,X,X,X,X,X,X,p1,p,o14,v210,210
s195,0.08,0.28,0.4,0.24,0.36,0.68,0.64,UNA,UNA,UNA,UNA,UNA,X,UNA,X,X,Y,Y,X,X,p5,v,o10,v145,145
s196,0.8,0.13,0.05,0.02,0.93,0.18,0.07,A,A,A,A,A,A,A,A,A,A,A,A,A,p3,o,o22,v470,470
s197,0.1,0.47,0.28,0.15,0.57,0.75,0.43,A,A,UNA,UNA,A,X,X,X,X,X,X,X,X,p2,s,o11,v155,155
s198,0.45,0.09,0.01,0.45,0.54,0.11,0.46,A,A,UNA,UNA,A,X,X,A,A,A,A,A,A,p2,n,o03,v18,18
s199,0.87,0.11,0.01,0.01,0.98,0.12,0.02,A,A,A,A,A,A,A,A,A,A,A,A,A,p4,o,o06,v25,25
s200,0.56,0.33,0.11,0.01,0.89,0.43,0.11,A,A,A,A,A,A,A,A,A,A,A,A,A,p2,n,o25,v807,807
s201,0.01,0.16,0.36,0.46,0.17,0.52,0.83,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p4,v,o20,v470,470
s202,0.07,0.27,0.35,0.31,0.34,0.62,0.66,UNA,UNA,UNA,UNA,UNA,X,UNA,UNA,UNA,Y,Y,X,X,p5,p,o24,v713,713
s203,0.02,0.21,0.36,0.41,0.23,0.57,0.77,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p1,p,o01,v18,18
s204,0.02,0.41,0.29,0.27,0.44,0.71,0.56,UNA,UNA,UNA,UNA,UNA,X,X,X,X,X,X,X,X,p1,o,o14,v210,210
s205,0.2,0.37,0.29,0.13,0.57,0.66,0.43,A,A,UNA,UNA,A,X,X,X,X,X,X,X,X,p3,o,o35,v1147,1147
s206,0.56,0.34,0.07,0.02,0.9,0.42,0.1,A,A,A,A,A,A,A,A,A,A,A,A,A,p4,o,o16,v345,345
s207,0.85,0.13,0.01,0.01,0.98,0.14,0.02,A,A,A,A,A,A,A,A,A,A,A,A,A,p5,p,o31,v958,958
s208,0.1,0.42,0.27,0.22,0.51,0.69,0.49,A,A,UNA,UNA,A,X,X,X,X,X,X,X,X,p2,p,o03,v18,18
s209,0.1,0.29,0.32,0.29,0.39,0.61,0.61,UNA,UNA,UNA,UNA,UNA,X,UNA,UNA,X,Y,Y,X,X,p3,p,o29,v831,831
s210,0.02,0.2,0.28,0.5,0.22,0.48,0.78,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p1,n,o15,v345,345
s211,0.85,0.11,0.04,0.01,0.96,0.15,0.04,A,A,A,A,A,A,A,A,A,A,A,A,A,p4,v,o34,v958,958
s212,0.28,0.3,0.28,0.14,0.58,0.58,0.42,A,A,UNA,A,A,X,X,A,A,X,X,X,X,p5,v,o24,v713,713
s213,0.12,0.3,0.31,0.27,0.42,0.61,0.58,UNA,UNA,UNA,UNA,UNA,X,X,X,X,Y,Y,X,X,p1,n,o33,v958,958
s214,0.4,0.41,0.13,0.07,0.8,0.53,0.2,A,A,A,A,A,A,A,A,A,X,X,X,X,p4,s,o06,v25,25
s215,0.04,0.22,0.47,0.28,0.26,0.69,0.74,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,Y,Y,X,X,p1,v,o30,v831,831
s216,0.6,0.27,0.07,0.06,0.87,0.34,0.13,A,A,A,A,A,A,A,A,A,A,A,A,A,p5,s,o17,v447,447
s217,0.6,0.25,0.08,0.07,0.85,0.33,0.15,A,A,A,A,A,A,A,A,A,A,A,A,A,p2,n,o11,v155,155
s218,0.04,0.13,0.21,0.61,0.18,0.35,0.82,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p2,n,,v40,40
s219,0.03,0.06,0.22,0.68,0.1,0.28,0.9,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p3,n,o32,v958,958
s220,0.48,0.03,0.01,0.48,0.51,0.03,0.49,A,A,UNA,UNA,A,X,X,A,A,A,A,A,A,p2,s,o08,v111,111
s221,0.08,0.13,0.23,0.57,0.21,0.36,0.79,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p3,n,o26,v807,807
s222,0.35,0.4,0.16,0.08,0.76,0.56,0.24,A,A,A,A,A,A,A,A,A,X,X,X,X,p4,s,o34,v958,958
s223,0.6,0.26,0.1,0.03,0.86,0.36,0.14,A,A,A,A,A,A,A,A,A,A,A,A,A,p4,n,o25,v807,807
